keyphrase,document_id,has_embedding
aml process smooth,68a8c9fb8b8398d82b9fe32c,True
aml process smooth,68a8c9fc8b8398d82b9fe463,True
aml process smooth,68a8c9fd8b8398d82b9fe4ce,True
aml process smooth,68a8c9fd8b8398d82b9fe59a,True
aml process smooth,68a8c9fd8b8398d82b9fe5a9,True
aml process smooth,68a8c9fd8b8398d82b9fe5aa,True
aml process smooth,68a8c9fe8b8398d82b9fe684,True
aml process smooth,68a8c9fe8b8398d82b9fe6de,True
aml process smooth,68a8c9ff8b8398d82b9fe75b,True
aml process smooth,68a8ca018b8398d82b9fe918,True
aml process smooth,68a8ca018b8398d82b9fe965,True
aml process smooth,68a8ca028b8398d82b9fe9d3,True
aml process smooth,68a8ca028b8398d82b9fea78,True
aml process smooth,68a8ca028b8398d82b9feae3,True
api integration problem,68a8c9fb8b8398d82b9fe380,True
api integration problem,68a8c9fc8b8398d82b9fe408,True
api integration problem,68a8c9fc8b8398d82b9fe417,True
api integration problem,68a8c9fc8b8398d82b9fe41d,True
api integration problem,68a8c9fc8b8398d82b9fe482,True
api integration problem,68a8c9fd8b8398d82b9fe4bc,True
api integration problem,68a8c9fd8b8398d82b9fe5bc,True
api integration problem,68a8c9fe8b8398d82b9fe61f,True
api integration problem,68a8c9fe8b8398d82b9fe675,True
api integration problem,68a8c9ff8b8398d82b9fe760,True
api integration problem,68a8c9ff8b8398d82b9fe7d2,True
api integration problem,68a8ca008b8398d82b9fe8b2,True
api integration problem,68a8ca008b8398d82b9fe8c7,True
api integration problem,68a8ca008b8398d82b9fe8ea,True
api integration problem,68a8ca018b8398d82b9fe902,True
api integration problem,68a8ca018b8398d82b9fe949,True
api integration problem,68a8ca018b8398d82b9fe9ab,True
api integration problem,68a8ca028b8398d82b9fea08,True
api integration problem,68a8ca028b8398d82b9fea20,True
api integration problem,68a8ca028b8398d82b9fea6a,True
api service outstanding,68a8c9fc8b8398d82b9fe3f5,True
api service outstanding,68a8c9fd8b8398d82b9fe4b6,True
api service outstanding,68a8c9fd8b8398d82b9fe519,True
api service outstanding,68a8c9fd8b8398d82b9fe536,True
api service outstanding,68a8c9fd8b8398d82b9fe59b,True
