cluster_id,keywords,cluster_name,experiment_id,umap_params,hdbscan_params
-1,"['pende deposit inquiry', 'online access block', 'online access block', 'mortgage payment pende', 'online fraud dispute', 'block account access', 'mortgage payment reschedule', 'decline card issue', 'charge dispute process', 'pende debit investigation', 'password reset issue', 'direct deposit inquiry', 'decline transaction issue', 'account access issue', 'account balance discrepancy', 'direct deposit inquiry', 'decline transaction issue', 'mortgage payment rejection']",Cluster -1 (Noise),umap_2_hdbscan_3,"{'n_neighbors': 30, 'min_dist': 0.05}","{'min_cluster_size': 4, 'min_samples': 4, 'cluster_selection_method': 'eom'}"
0,"['fraudulent transaction dispute', 'fraudulent transaction review', 'fraudulent transaction review', 'fraudulent transaction block', 'fraudulent transaction block', 'fraudulent transaction claim', 'fraudulent transaction claim', 'fraudulent access attempt', 'fraudulent transaction dispute']",Cluster 0,umap_2_hdbscan_3,"{'n_neighbors': 30, 'min_dist': 0.05}","{'min_cluster_size': 4, 'min_samples': 4, 'cluster_selection_method': 'eom'}"
1,"['fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge inquiry', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge inquiry', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'fraudulent charge dispute', 'dispute charge inquiry', 'fraudulent charge review', 'fraudulent charge dispute', 'fraudulent charge dispute']",Cluster 1,umap_2_hdbscan_3,"{'n_neighbors': 30, 'min_dist': 0.05}","{'min_cluster_size': 4, 'min_samples': 4, 'cluster_selection_method': 'eom'}"
2,"['fail direct debit', 'fail payment inquiry', 'fail direct debit', 'fail direct debit', 'fail direct debit']",Cluster 2,umap_2_hdbscan_3,"{'n_neighbors': 30, 'min_dist': 0.05}","{'min_cluster_size': 4, 'min_samples': 4, 'cluster_selection_method': 'eom'}"
3,"['direct debit issue', 'direct debit failure', 'direct debit issue', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit block', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit block', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit failure', 'direct debit rejection']",Cluster 3,umap_2_hdbscan_3,"{'n_neighbors': 30, 'min_dist': 0.05}","{'min_cluster_size': 4, 'min_samples': 4, 'cluster_selection_method': 'eom'}"
4,"['unauthorized transaction dispute', 'unauthorized charge dispute', 'unauthorized charge inquiry', 'unauthorized charge dispute', 'unauthorized charge dispute', 'unauthorized transaction dispute', 'unauthorized charge dispute', 'unauthorized charge dispute', 'unauthorized charge inquiry', 'unauthorized charge dispute', 'unrecognized charge dispute', 'unauthorized charge dispute', 'unauthorized transaction inquiry', 'unauthorized charge dispute', 'unauthorized charge dispute', 'unauthorized charge dispute', 'unauthorized subscription charge', 'unauthorized charge dispute', 'unrecognized charge dispute', 'unauthorized charge inquiry', 'unauthorized subscription dispute', 'unauthorized charge dispute', 'unauthorized charge dispute', 'unauthorized charge dispute', 'unauthorized charge dispute', 'unauthorized charge inquiry', 'unauthorized charge dispute', 'unauthorized charge dispute']",Cluster 4,umap_2_hdbscan_3,"{'n_neighbors': 30, 'min_dist': 0.05}","{'min_cluster_size': 4, 'min_samples': 4, 'cluster_selection_method': 'eom'}"
5,"['direct deposit issue', 'direct deposit issue', 'direct deposit issue', 'direct deposit issue', 'direct deposit issue', 'direct deposit issue', 'direct deposit issue', 'direct deposit issue', 'direct deposit issue', 'direct deposit issue']",Cluster 5,umap_2_hdbscan_3,"{'n_neighbors': 30, 'min_dist': 0.05}","{'min_cluster_size': 4, 'min_samples': 4, 'cluster_selection_method': 'eom'}"
6,"['direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit delay', 'direct deposit review', 'direct deposit error', 'direct deposit inquiry', 'direct deposit delay', 'direct deposit delay', 'payroll deposit delay', 'direct deposit delay', 'direct deposit delay', 'miss direct deposit', 'direct deposit delay']",Cluster 6,umap_2_hdbscan_3,"{'n_neighbors': 30, 'min_dist': 0.05}","{'min_cluster_size': 4, 'min_samples': 4, 'cluster_selection_method': 'eom'}"
7,"['subscription charge inquiry', 'subscription dispute', 'subscription dispute inquiry', 'subscription charge inquiry', 'subscription charge inquiry', 'subscription charge dispute', 'subscription dispute', 'subscription dispute', 'subscription charge inquiry']",Cluster 7,umap_2_hdbscan_3,"{'n_neighbors': 30, 'min_dist': 0.05}","{'min_cluster_size': 4, 'min_samples': 4, 'cluster_selection_method': 'eom'}"
8,"['recur charge inquiry', 'charge recognition inquiry', 'recur charge inquiry', 'recur charge inquiry', 'recur charge inquiry', 'recur charge inquiry', 'charge dispute inquiry']",Cluster 8,umap_2_hdbscan_3,"{'n_neighbors': 30, 'min_dist': 0.05}","{'min_cluster_size': 4, 'min_samples': 4, 'cluster_selection_method': 'eom'}"
