cluster_id,keywords,cluster_name,experiment_id,umap_params,hdbscan_params
-1,"['fraudulent transaction pattern', 'phishe attack patch', 'phishe attack detection', 'phishe wire transfer', 'fraudulent transaction spike', 'fraudulent ach activity', 'phishe campaign impact', 'phishe technique update', 'phishe attack mitigation', 'fraudulent transaction alert', 'phishe attack pattern', 'fraudulent transaction spike', 'los system upgrade', 'los system upgrade', 'fraudulent transaction alert', 'los training schedule', 'los system upgrade', 'los training update', 'los staff training', 'los system upgrade', 'los system upgrade', 'los system upgrade', 'los system upgrade']",Cluster -1 (Noise),umap_1_hdbscan_1,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
0,"['fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update', 'fraud system update']",Cluster 0,umap_1_hdbscan_1,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
1,"['branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit compliance', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit compliance', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit compliance', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit review', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit review', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit schedule', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit review', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit compliance', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit review', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit review', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit compliance', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation', 'branch audit review', 'branch audit preparation', 'branch audit preparation', 'branch audit preparation']",Cluster 1,umap_1_hdbscan_1,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
2,"['aml audit preparation', 'bsa aml audit', 'bsa aml audit', 'bsa aml audit', 'bsa aml audit', 'bsa aml audit', 'bsa aml audit']",Cluster 2,umap_1_hdbscan_1,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
3,"['aml procedure update', 'aml threshold change', 'aml threshold revision', 'aml system update', 'aml procedure update', 'aml system upgrade']",Cluster 3,umap_1_hdbscan_1,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
4,"['aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule update', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule update', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule update', 'aml rule revision', 'aml rule update', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision', 'aml rule revision']",Cluster 4,umap_1_hdbscan_1,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
5,"['los version upgrade', 'los update training', 'los version upgrade', 'los version upgrade', 'los version upgrade']",Cluster 5,umap_1_hdbscan_1,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
6,"['loan document revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision', 'loan documentation revision']",Cluster 6,umap_1_hdbscan_1,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
7,"['fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'advanced fraud detection', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'ach fraud update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection tune', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection calibration', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection adjustment', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud patch deployment', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection patch', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection patch', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud patch deployment', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update', 'fraud detection update']",Cluster 7,umap_1_hdbscan_1,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
8,"['fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent swift message', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'wire transfer verification', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'fraudulent wire transfer', 'wire transfer threshold']",Cluster 8,umap_1_hdbscan_1,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 3, 'min_samples': 3, 'cluster_selection_method': 'eom'}"
