cluster_id,keywords,cluster_name,experiment_id,umap_params,hdbscan_params
-1,"['atm card retention', 'suspicious login activity', 'salesforce api timeout', 'atm card reader failure', 'swift message validation', 'firefox font rendering', 'duo authentication failure', 'atm card reader failure', 'push notification failure', 'firefox ui misalignment', 'horizon login failure', 'dwh connection failure', 'dtr generation failure', 'salesforce datum sync', 'swift message validation', 'ldap authentication failure', 'suspicious login activity', 'atm card reader failure', 'ios app crash', 'atm card reader failure', 'ios app crash', 'atm card reader failure', 'firefox display misalignment', 'atm cassette jam', 'suspicious login activity', 'ios app crash', 'atm card reader failure', 'suspicious login activity', 'outlook signature display', 'ios app crash', 'exchange server outage', 'atm card reader failure', 'olb login failure', 'atm card reader failure', 'suspicious login activity', 'atm card reader failure', 'regulatory reporting failure', 'atm card reader failure', 'atm card retention', 'suspicious login attempt', 'atm card retention', 'ios app crash', 'atm card reader failure', 'suspicious login activity', 'athena login failure', 'ios app crash', 'alert email failure', 'atm card reader failure', 'ios app crash', 'atm card retention', 'cdw report slowdown', 'exchange server outage', 'suspicious login activity', 'exchange server outage', 'suspicious login activity', 'ib transaction slowdown', 'ios app crash', 'atm card reader failure', 'suspicious login activity', 'online login failure', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'ob login failure', 'experian api failure', 'unusual login attempt', 'ios app crash', 'ios app crash', 'obas login failure', 'atm card reader failure', 'ios app crash', 'atm card retention', 'suspicious login activity', 'ios app crash', 'obas login failure', 'atm card retention', 'suspicious login activity', 'ios app crash', 'atm card retention', 'suspicious login activity', 'ios app crash', 'mfa login failure', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'ios app crash', 'exchange server performance', 'suspicious login activity', 'ios app crash', 'obas login failure', 'ios app crash', 'exchange server outage', 'font size render', 'atm card reader failure', 'obas login failure', 'atm card retention', 'suspicious login activity', 'ios app crash', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'suspicious login activity', 'cbs disk space', 'obas login failure', 'suspicious login activity', 'obas login failure', 'atm card retention', 'ios app crash', 'cbs disk space', 'atm card retention', 'exchange server outage', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'ios app crash', 'obas login failure', 'suspicious login activity', 'ios app crash', 'mfa login failure', 'ios app crash', 'db connection timeout', 'obas login failure', 'suspicious login activity', 'ios app crash', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'obas login failure', 'suspicious login activity', 'ios app crash', 'cbs server overload', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'suspicious login attempt', 'suspicious login activity', 'experian api failure', 'exchange server performance', 'obas login failure', 'suspicious login activity', 'mfa login failure', 'suspicious login activity', 'ios app crash', 'obas login failure', 'suspicious login activity', 'exchange server outage', 'ios app crash', 'atm card reader failure', 'suspicious login activity', 'obas login failure', 'suspicious login activity', 'ios app crash', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'exchange server outage', 'atm card reader failure', 'cbs performance degradation', 'ios app crash', 'font size display', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'regulatory report failure', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'exchange server outage', 'suspicious mobile login', 'exchange server outage', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'suspicious login activity', 'dna performance degradation', 'push notification failure', 'suspicious login activity', 'ios app crash', 'suspicious login activity', 'ios app crash', 'exchange server failure', 'obas login failure', 'atm card retention', 'ios app crash', 'atm card retention', 'ios app crash', 'exchange server offline', 'obas login failure', 'atm card retention', 'suspicious login activity', 'obas login failure', 'atm card retention', 'suspicious login activity', 'ios app crash', 'atm card retention', 'suspicious login activity', 'ios app crash', 'exchange server outage', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'font size render', 'obas login failure', 'suspicious login activity', 'ios app crash', 'exchange server outage', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'exchange server outage', 'obas login failure', 'atm card retention', 'suspicious login activity', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'obas login failure', 'atm card retention', 'suspicious login activity', 'obas login failure', 'atm card retention', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'obas login failure', 'atm card retention', 'suspicious login activity', 'ios app crash', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'obas login failure', 'atm card retention', 'ios app crash', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'exchange server cpu', 'obas login failure', 'atm card reader failure', 'ibs performance degradation', 'suspicious login activity', 'obas login failure', 'suspicious login activity', 'exchange server outage', 'atm card retention', 'ios app crash', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'font size display', 'obas login failure', 'suspicious login activity', 'ios app crash', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'obas login failure', 'atm card retention', 'ios app crash', 'font size display', 'obas login failure', 'suspicious login activity', 'ios app crash', 'exchange server outage', 'atm card reader failure', 'ios app crash', 'exchange server outage', 'obas login failure', 'suspicious login activity', 'ios app crash', 'obas login failure', 'atm card retention', 'ios app crash', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'exchange server outage', 'obas login failure', 'small font size', 'atm card reader failure', 'duo security failure', 'atm card reader failure', 'suspicious login activity', 'exchange server outage', 'atm card reader failure', 'suspicious login activity', 'atm card reader failure', 'unusual login activity', 'ios app crash', 'safari display misalignment', 'atm card reader failure', 'ios app crash', 'exchange server outage', 'obas login failure', 'suspicious login activity', 'ios app crash', 'obas login failure', 'duo security failure', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'suspicious login activity', 'ios app crash', 'exchange server outage', 'font size display', 'obas login failure', 'atm card retention', 'suspicious login activity', 'ios app crash', 'obas login failure', 'ios app crash', 'suspicious login activity', 'ios app crash', 'exchange server outage', 'obas login failure', 'atm card reader failure', 'ios app crash', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'exchange server outage', 'atm card read failure', 'dwh report delay', 'obas login failure', 'atm card retention', 'atm card reader failure', 'suspicious login activity', 'obas login failure', 'suspicious login activity', 'ios app crash', 'exchange server outage', 'obas login failure', 'atm card reader failure', 'cbs cpu utilization', 'suspicious login activity', 'obas login failure', 'suspicious login activity', 'ios app crash', 'regulatory reporting failure', 'obas login failure', 'suspicious login activity', 'api response delay', 'ios app crash', 'exchange server outage', 'obas login failure', 'suspicious login activity', 'ios app crash', 'obas login failure', 'atm card retention', 'suspicious login activity', 'ios app crash', 'obas login failure', 'obas login failure', 'ios app crash', 'exchange server queue', 'suspicious login activity', 'exchange server outage', 'ios app crash', 'ios app crash', 'atm card reader failure', 'exchange server failure', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'exchange server outage', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'atm card retention', 'exchange server outage', 'obas login failure', 'atm card retention', 'ios app crash', 'suspicious login activity', 'ios app crash', 'atm card retention', 'suspicious login activity', 'obas login failure', 'atm card retention', 'suspicious login activity', 'ios app crash', 'obas login failure', 'regulatory reporting delay', 'ios app crash', 'obas login failure', 'atm card retention', 'suspicious login activity', 'obas login failure', 'suspicious login activity', 'ios app crash', 'cbs cpu spike', 'obas login failure', 'atm card retention', 'suspicious login activity', 'ios app crash', 'exchange server outage', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'obas login failure', 'atm card retention', 'ios app crash', 'atm card reader failure', 'suspicious login activity', 'report generation delay', 'ios app crash', 'obas login failure', 'atm card retention', 'suspicious login activity', 'ios app crash', 'obas login failure', 'ios app crash', 'obas login failure', 'suspicious login activity', 'obas login failure', 'suspicious login activity', 'ios app crash', 'atm card reader failure', 'suspicious login activity', 'exchange server outage', 'obas login failure', 'atm card reader failure', 'exchange server outage', 'obas login failure', 'atm card retention', 'suspicious login activity', 'ios app crash', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'obas login failure', 'atm card reader failure', 'suspicious login activity', 'exchange server outage', 'obas login failure', 'atm card retention', 'suspicious login activity', 'obas login failure', 'ios app crash', 'obas login failure', 'suspicious login activity', 'suspicious login activity', 'ios app crash', 'cbs disk space', 'obas login failure', 'suspicious login activity', 'ios app crash', 'obas login failure', 'atm card retention', 'suspicious login activity', 'ios app crash', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'atm card retention', 'suspicious login activity', 'ios app crash', 'obas login failure', 'atm card retention', 'ios app crash', 'obas login failure', 'atm card reader failure', 'exchange server outage', 'suspicious login activity', 'receipt printer failure', 'font size display', 'obas login failure', 'suspicious login activity', 'ios app crash', 'atm card reader failure', 'suspicious login activity', 'atm card reader failure', 'suspicious login activity', 'safari font size', 'obas login failure', 'suspicious login activity', 'ios app crash', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'obas login failure', 'atm card retention', 'ios app crash', 'atm card reader failure', 'suspicious login activity', 'ios app crash', 'exchange email delay', 'duo mfa failure', 'atm card reader failure', 'ios app crash']",Cluster -1 (Noise),umap_1_hdbscan_2,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 5, 'min_samples': 2, 'cluster_selection_method': 'leaf'}"
0,"['ios transaction history', 'ios bill payment crash', 'ios transaction crash', 'ios bill payment crash', 'ios bill payment crash', 'ios transaction crash', 'ios bill payment crash', 'ios bill payment crash', 'ios transaction crash', 'ios bill payment crash']",Cluster 0,umap_1_hdbscan_2,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 5, 'min_samples': 2, 'cluster_selection_method': 'leaf'}"
1,"['branch network outage', 'branch network downtime', 'branch network downtime', 'branch network downtime', 'branch network downtime', 'branch network downtime', 'branch network outage', 'branch network downtime', 'branch network downtime', 'branch network downtime', 'branch network downtime', 'branch network downtime', 'branch network downtime', 'branch network downtime', 'branch network downtime']",Cluster 1,umap_1_hdbscan_2,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 5, 'min_samples': 2, 'cluster_selection_method': 'leaf'}"
2,"['branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage', 'branch network outage']",Cluster 2,umap_1_hdbscan_2,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 5, 'min_samples': 2, 'cluster_selection_method': 'leaf'}"
3,"['atm cash dispenser', 'atm deposit failure', 'atm cash jam', 'atm deposit failure', 'atm cash error', 'atm cash error']",Cluster 3,umap_1_hdbscan_2,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 5, 'min_samples': 2, 'cluster_selection_method': 'leaf'}"
4,"['atm cash dispense', 'atm cash dispense', 'atm cash dispense', 'atm cash dispense', 'atm cash dispense failure']",Cluster 4,umap_1_hdbscan_2,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 5, 'min_samples': 2, 'cluster_selection_method': 'leaf'}"
5,"['brute force attack', 'brute force attack', 'brute force attack', 'brute force attack', 'brute force attack', 'brute force attack', 'brute force attack', 'brute force attack', 'brute force attack', 'brute force attack', 'brute force attack', 'brute force attack', 'brute force attack', 'brute force attack', 'brute force attack', 'brute force attack', 'brute force attack', 'brute force attack', 'brute force attack', 'brute force attack']",Cluster 5,umap_1_hdbscan_2,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 5, 'min_samples': 2, 'cluster_selection_method': 'leaf'}"
6,"['android app crash', 'android app crash', 'android app crash', 'android app crash', 'android app crash', 'android app crash', 'android app crash', 'android app crash', 'android app crash', 'android app crash']",Cluster 6,umap_1_hdbscan_2,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 5, 'min_samples': 2, 'cluster_selection_method': 'leaf'}"
7,"['ios app crash', 'ios app crash', 'ios app crash', 'ios app crash', 'ios app crash']",Cluster 7,umap_1_hdbscan_2,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 5, 'min_samples': 2, 'cluster_selection_method': 'leaf'}"
8,"['branch network latency', 'branch network latency', 'branch network latency', 'branch network latency', 'branch network latency', 'branch network latency', 'branch router cpu', 'branch network latency', 'branch network latency', 'branch network latency', 'branch network connectivity', 'branch network latency', 'branch network latency', 'branch network latency', 'branch network latency', 'branch network latency', 'branch network latency', 'branch network latency', 'branch network latency', 'branch network connectivity', 'branch network latency', 'branch network latency', 'branch network latency', 'branch network latency', 'branch network latency', 'branch network latency', 'branch network latency', 'branch network latency', 'branch network latency', 'branch network latency']",Cluster 8,umap_1_hdbscan_2,"{'n_neighbors': 15, 'min_dist': 0.1}","{'min_cluster_size': 5, 'min_samples': 2, 'cluster_selection_method': 'leaf'}"
